Certificação Realizada no dia 14-04-20 21:32:56
Dev_id utilizado: tests_mode
Teste 0: True
Teste 1: True
Teste 2: True
Teste 3: True
Teste 4: True
Teste 5: True
Teste 6: False
Teste 7: True
Teste 8: True
Teste 9: False
Teste 10: False
Teste 11: False
Teste 12: True
Teste 13: False
Teste 14: False
Teste 15: True
Teste 16: True
Teste 17: True
Teste 18: True
Teste 19: False
Teste 20: False
Teste 21: True
Teste 22: True
Teste 23: True
Teste 24: False
Teste 25: False
Teste 26: True
Teste 27: True
Teste 28: False
Teste 29: False
Teste 30: False
Teste 31: False
Teste 32: False
Teste 33: False
Teste 34: True
Teste 35: True
Teste 36: True
Teste 37: False
Teste 38: True
Teste 39: False
Teste 40: False
Teste 41: True
Teste 42: True
Teste 43: False
Teste 44: False
Teste 45: True
Teste 46: True
Teste 47: True
Teste 48: True
Teste 49: True
Teste 50: True
Teste 51: True
Teste 52: False
Teste 53: True
Teste 54: True
Teste 55: True
Teste 56: True
Teste 57: False
Teste 58: True
Teste 59: True
Teste 60: True
Teste 61: True
Teste 62: True
Teste 63: True
Teste 64: False
